t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
5.8,0.265744,-0.0609487,1.43935,0.0114246,0.00108016,0.157486,1.01049,1.62963,4.96264,-0.0113562,0.00181956,2.4504,6.87207,-0.000111546,-3.44625e-05,-3.0783e-05,0.0034,0.0034,0.006,1.22521,1.57953,4.36252,2.45044
5.9,0.266726,-0.0534296,1.44299,0.00232425,-0.000916191,0.156979,0.992237,1.64981,5.10681,-0.0106385,0.00199959,2.46613,6.87207,-0.000402229,-8.86504e-05,-2.43346e-05,0.0034,0.0034,0.006,1.20039,1.59878,4.48567,2.46615
6,0.26818,-0.047487,1.44652,-0.00677337,-0.00292486,0.156472,0.973174,1.66929,5.25133,-0.0108296,0.00197468,2.4818,6.87207,-0.000402229,-8.86504e-05,-2.43346e-05,0.0034,0.0034,0.006,1.17557,1.61803,4.60882,2.48186
6.1,0.269655,-0.040854,1.39525,0.00942036,-0.000683504,0.157662,0.953329,1.68807,5.39345,-0.0106665,0.00196503,2.49751,6.48938,0.000715656,9.89886e-05,5.71449e-05,0.0034,0.0034,0.006,1.14959,1.63569,4.74741,2.49757
6.2,0.271144,-0.0339205,1.34402,0.00776981,-0.000839068,0.157267,0.932744,1.70617,5.53045,-0.00977539,0.00204965,2.51325,6.48938,-7.3e-05,-7.39112e-06,-1.89643e-05,0.0034,0.0034,0.006,1.12361,1.65334,4.88599,2.51327
6.3,0.272829,-0.0282845,1.29276,0.00152207,-0.00121959,0.157018,0.91147,1.72365,5.66231,-0.00927817,0.00209568,2.52897,6.48938,-0.000276211,-1.70967e-05,-1.19612e-05,0.0034,0.0034,0.006,1.09763,1.671,5.02458,2.52898
6.4,0.274662,-0.0236664,1.24148,-0.00472515,-0.00160855,0.156769,0.889538,1.74053,5.78904,-0.00940536,0.0021001,2.54466,6.48938,-0.000276211,-1.70967e-05,-1.19612e-05,0.0034,0.0034,0.006,1.07165,1.68866,5.16317,2.54469
6.5,0.276605,-0.0186578,1.14126,0.0061033,-0.00233702,0.157392,0.866971,1.75681,5.90819,-0.00930376,0.00205106,2.56037,6.1479,0.0004785,-3.22396e-05,2.99368e-05,0.0034,0.0034,0.006,1.04462,1.70465,5.29532,2.5604
6.6,0.278566,-0.0135857,1.04103,0.00503268,-0.00209888,0.157148,0.843805,1.77251,6.01732,-0.00871535,0.00197084,2.5761,6.1479,-4.74539e-05,1.01927e-05,-1.17464e-05,0.0034,0.0034,0.006,1.01758,1.72063,5.42746,2.57611
6.7,0.28047,-0.00932289,0.940815,0.000936998,-0.00142212,0.15704,0.82008,1.78765,6.11642,-0.00838631,0.00192863,2.59181,6.1479,-0.000181134,2.97344e-05,-5.16518e-06,0.0034,0.0034,0.006,0.990544,1.73662,5.55961,2.59181
6.8,0.282348,-0.00560317,0.840608,-0.0031596,-0.000750898,0.156932,0.795823,1.80225,6.20549,-0.00846706,0.00195178,2.60751,6.1479,-0.000181134,2.97344e-05,-5.16518e-06,0.0034,0.0034,0.006,0.963507,1.75261,5.69176,2.60752
6.9,0.284347,-0.00169806,0.706331,0.00411634,-0.00335209,0.157241,0.771049,1.81631,6.28284,-0.00838881,0.0018799,2.62322,5.91027,0.000321474,-0.000115001,1.48129e-05,0.0034,0.0034,0.006,0.93552,1.76687,5.7966,2.62323
7,0.286301,0.00208264,0.57202,0.00333407,-0.00287443,0.157084,0.745787,1.82983,6.34675,-0.00798823,0.00169717,2.63893,5.91027,-3.47624e-05,2.08901e-05,-7.52632e-06,0.0034,0.0034,0.006,0.907533,1.78113,5.90145,2.63894
7.1,0.28808,0.0053787,0.437731,0.000591541,-0.00153683,0.157052,0.720072,1.84283,6.39724,-0.00776621,0.00160001,2.65464,5.91027,-0.000121352,5.90044e-05,-1.54382e-06,0.0034,0.0034,0.006,0.879546,1.79539,6.00629,2.65465
7.2,0.289798,0.00843756,0.303481,-0.0021528,-0.000202949,0.15702,0.693927,1.85531,6.43429,-0.00781903,0.00163507,2.67035,5.91027,-0.000121352,5.90044e-05,-1.54382e-06,0.0034,0.0034,0.006,0.851559,1.80965,6.11114,2.67035
7.3,0.291592,0.0115518,0.156331,0.00330327,-0.00385398,0.157159,0.667363,1.86726,6.45727,-0.00773601,0.00155506,2.68606,5.82047,0.000241037,-0.00016141,6.686e-06,0.0034,0.0034,0.006,0.822731,1.82213,6.17212,2.68606
7.4,0.293232,0.0144102,0.00913149,0.00257493,-0.00326652,0.157053,0.640401,1.87869,6.46554,-0.00741959,0.001318,2.70177,5.82047,-3.24054e-05,2.579e-05,-5.10343e-06,0.0034,0.0034,0.006,0.793904,1.8346,6.23311,2.70177
7.5,0.294682,0.0169632,-0.138036,0.000459412,-0.00156871,0.157059,0.613074,1.88961,6.45908,-0.00724837,0.00119117,2.71748,5.82047,-9.36499e-05,7.49529e-05,2.84788e-07,0.0034,0.0034,0.006,0.765076,1.84708,6.2941,2.71748
7.6,0.29613,0.0194524,-0.285151,-0.00165839,0.000126251,0.157065,0.585407,1.90002,6.43791,-0.00728948,0.00123297,2.73318,5.82047,-9.36499e-05,7.49529e-05,2.84788e-07,0.0034,0.0034,0.006,0.736249,1.85955,6.35509,2.73319
7.7,0.29759,0.0218968,-0.421561,0.0032698,-0.0038972,0.157116,0.557403,1.90991,6.40256,-0.00718964,0.00115874,2.74889,5.89545,0.000217714,-0.000177885,2.47307e-06,0.0034,0.0034,0.006,0.706695,1.87019,6.36259,2.74889
7.8,0.298784,0.0239704,-0.55803,0.00246982,-0.00331676,0.157041,0.529077,1.91928,6.35356,-0.00688648,0.0009085,2.7646,5.89545,-3.55747e-05,2.54843e-05,-3.61332e-06,0.0034,0.0034,0.006,0.677142,1.88083,6.37009,2.7646
7.9,0.299836,0.0258402,-0.694462,0.000473493,-0.00151945,0.157063,0.500465,1.92813,6.29092,-0.00672632,0.000773349,2.78031,5.89545,-8.83819e-05,7.93532e-05,1.06953e-06,0.0034,0.0034,0.006,0.647588,1.89147,6.3776,2.78031
8,0.300977,0.0277662,-0.830836,-0.00152526,0.000275166,0.157086,0.47159,1.93648,6.21464,-0.00676664,0.000816868,2.79602,5.89545,-8.83819e-05,7.93532e-05,1.06953e-06,0.0034,0.0034,0.006,0.618034,1.90211,6.3851,2.79602
8.1,0.302084,0.0295615,-0.93459,0.00350551,-0.00356029,0.157094,0.442452,1.9443,6.12635,-0.00665479,0.000758634,2.81173,6.12338,0.000222262,-0.000169586,4.20074e-07,0.0034,0.0034,0.006,0.58787,1.91088,6.33794,2.81173
8.2,0.30286,0.0308737,-1.0384,0.00263262,-0.00307532,0.157041,0.413063,1.95159,6.02769,-0.00633782,0.000528787,2.82743,6.12338,-3.87796e-05,2.12524e-05,-2.55154e-06,0.0034,0.0034,0.006,0.557707,1.91964,6.29077,2.82743
8.3,0.303555,0.0320591,-1.14218,0.000545207,-0.00140144,0.157067,0.383458,1.95837,5.91864,-0.00617181,0.000402935,2.84314,6.12338,-9.23974e-05,7.38904e-05,1.23452e-06,0.0034,0.0034,0.006,0.527543,1.9284,6.2436,2.84314
8.4,0.304404,0.0334048,-1.2459,-0.00154447,0.000269611,0.157093,0.353658,1.96464,5.79922,-0.00621533,0.000443383,2.85885,6.12338,-9.23974e-05,7.38904e-05,1.23452e-06,0.0034,0.0034,0.006,0.49738,1.93717,6.19644,2.85885
8.5,0.305207,0.0345687,-1.3004,0.00359413,-0.00298841,0.157084,0.323664,1.97038,5.67188,-0.00610579,0.000404834,2.87456,6.46716,0.000227045,-0.000144066,-4.30315e-07,0.0034,0.0034,0.006,0.466725,1.94402,6.10205,2.87456
8.6,0.305684,0.0351766,-1.35495,0.00272928,-0.00264033,0.157048,0.293486,1.97558,5.5391,-0.00578477,0.000216674,2.89027,6.46716,-3.83945e-05,1.51966e-05,-1.72276e-06,0.0034,0.0034,0.006,0.436071,1.95087,6.00766,2.89027
8.7,0.306123,0.0357177,-1.40948,0.000597991,-0.00124227,0.15707,0.263155,1.98028,5.40086,-0.00561599,0.000111819,2.90597,6.46716,-9.43187e-05,6.1695e-05,1.06611e-06,0.0034,0.0034,0.006,0.405417,1.95772,5.91327,2.90597
8.8,0.306727,0.0364869,-1.46395,-0.00153518,0.000152917,0.157092,0.23269,1.98446,5.25717,-0.005661,0.000145668,2.92168,6.46716,-9.43187e-05,6.1695e-05,1.06611e-06,0.0034,0.0034,0.006,0.374763,1.96457,5.81888,2.92168
8.9,0.307298,0.0370786,-1.46053,0.00335195,-0.00235162,0.157079,0.202094,1.98813,5.11093,-0.00556773,0.000124512,2.93739,6.87139,0.000215946,-0.000110755,-6.23735e-07,0.0034,0.0034,0.006,0.343739,1.96949,5.69217,2.93739
9,0.307606,0.0371252,-1.45716,0.00259106,-0.00213601,0.157056,0.171377,1.99126,4.96503,-0.00526974,-1.48496e-05,2.9531,6.87139,-3.37656e-05,9.35259e-06,-1.09723e-06,0.0034,0.0034,0.006,0.312715,1.9744,5.56546,2.9531
9.1,0.307894,0.0371355,-1.45376,0.000592397,-0.00107554,0.157072,0.140563,1.99388,4.81946,-0.00511155,-9.41394e-05,2.96881,6.87139,-8.84366e-05,4.67779e-05,7.74546e-07,0.0034,0.0034,0.006,0.281691,1.97932,5.43876,2.96881
