t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
8.8,0.310615,0.0411818,-1.46388,-0.00192386,0.0015442,0.157078,0.236586,1.98579,5.25714,-0.00493112,-0.000133025,2.92168,6.46716,-8.27329e-05,9.37277e-05,6.19484e-07,0.00441768,0.00442207,0.00479973,0.374763,1.96457,5.81888,2.92168
8.9,0.311022,0.0410754,-1.46047,0.00295862,-0.00348186,0.157103,0.205465,1.98901,5.1109,-0.00488102,-0.000152254,2.93739,6.87135,0.000215748,-0.000222183,1.20148e-06,0.00441768,0.00442207,0.00479973,0.343739,1.96949,5.69217,2.93739
9,0.310994,0.0405379,-1.45712,0.00145111,-0.00211278,0.157058,0.174264,1.99177,4.965,-0.0046647,-0.000357195,2.9531,6.87135,-6.67989e-05,6.03815e-05,-2.15193e-06,0.00441768,0.00442207,0.00479973,0.312715,1.9744,5.56546,2.9531
9.1,0.311039,0.0400782,-1.45372,1.02306e-05,-0.000559383,0.157069,0.143009,1.99406,4.81944,-0.00459791,-0.000418235,2.9688,6.87135,-6.37667e-05,6.86167e-05,4.93785e-07,0.00441768,0.00442207,0.00479973,0.281691,1.97932,5.43876,2.96881
9.2,0.311321,0.0398307,-1.45027,-0.00143275,0.00099207,0.157079,0.111716,1.9959,4.67423,-0.00467505,-0.000323945,2.98451,6.87135,-6.37667e-05,6.86167e-05,4.93785e-07,0.00441768,0.00442207,0.00479973,0.250666,1.98423,5.31205,2.98451
9.3,0.311554,0.039466,-1.38951,0.00241372,-0.00244238,0.157095,0.0803817,1.99727,4.53222,-0.00463067,-0.00032291,3.00022,7.27157,0.00016997,-0.000151832,7.70805e-07,0.00441768,0.00442207,0.00479973,0.219395,1.98719,5.17302,3.00022
9.4,0.311507,0.0387738,-1.3288,0.00119381,-0.00159103,0.157066,0.0490143,1.99816,4.39629,-0.00445649,-0.000453356,3.01593,7.27157,-5.40402e-05,3.75223e-05,-1.39916e-06,0.00441768,0.00442207,0.00479973,0.188124,1.99014,5.03399,3.01593
9.5,0.311499,0.0381367,-1.26805,3.38655e-05,-0.00055885,0.157072,0.0176345,1.99858,4.26643,-0.00440264,-0.000491414,3.03164,7.27157,-5.13337e-05,4.55855e-05,2.78662e-07,0.00441768,0.00442206,0.00479973,0.156852,1.9931,4.89497,3.03164
9.6,0.311629,0.0376502,-1.20727,-0.00112747,0.000471758,0.157077,-0.0137456,1.99854,4.14265,-0.00446466,-0.000426265,3.04734,7.27157,-5.13337e-05,4.55855e-05,2.78662e-07,0.00441768,0.00442206,0.00479973,0.125581,1.99605,4.75594,3.04734
9.7,0.311755,0.0371029,-1.09881,0.00186945,-0.00165416,0.15709,-0.0451248,1.99802,4.02733,-0.00443391,-0.000415135,3.06305,7.60447,0.000132429,-9.39877e-05,5.93476e-07,0.00441768,0.00442206,0.00479973,0.0941858,1.99704,4.62655,3.06305
9.8,0.311736,0.0363348,-0.990385,0.000941123,-0.00119009,0.157072,-0.076496,1.99702,3.92286,-0.00430054,-0.000488858,3.07876,7.60447,-4.11171e-05,2.04282e-05,-8.52795e-07,0.00441768,0.00442206,0.00479973,0.0627905,1.99803,4.49716,3.07876
9.9,0.311723,0.0355831,-0.881939,3.72401e-05,-0.000570372,0.157074,-0.107844,1.99554,3.82923,-0.00425953,-0.000509761,3.09447,7.60447,-4.00042e-05,2.73621e-05,9.40842e-08,0.00441768,0.00442206,0.00479973,0.0313953,1.99901,4.36776,3.09447
